"url","Link text","status"
"	https://engage.eucalyptus.com/customer/portal/articles/1175134-issues-moving-to-ha-clc-from-non-ha-setup","Eucalyptus Engage","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “engage.eucalyptus.com” which could put your confidential information at risk."
"https://docs.hpcloud.com/eucalyptus/4.3.0/release-notes/3.2.2/3.2.2_rn_security.html","",""
"	https://www.eucalyptus.com/eucalyptus-cloud/security/advisories","Eucalyptus Security Advisories","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"https://docs.hpcloud.com/eucalyptus/4.3.0/release-notes/3.4.0/3.4.0_rn_security.html","",""
"	https://www.eucalyptus.com/eucalyptus-cloud/security/advisories","Eucalyptus Security Advisories","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"http://docs.hpcloud.com/eucalyptus/4.2.1/shared/intro_compatibility_matrix_4.0.html","",""
"	https://www.eucalyptus.com/docs/eucalyptus/4.0.2/euca2ools-guide/index.html","Euca2ools 3.1","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"http://docs.hpcloud.com/eucalyptus/4.2.1/shared/intro_compatibility_matrix_4.1.html","",""
"	https://www.eucalyptus.com/docs/eucalyptus/4.1.2/euca2ools-guide/index.html","Euca2ools 3.2","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"http://docs.hpcloud.com/eucalyptus/4.2.2/release-notes/3.3.2/3.3.2_rn_issues.html","",""
"	https://www.eucalyptus.com/docs/eucalyptus/3.3/install-guide/configuring_vmware_support.html","Configure VMware Support","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"	https://www.eucalyptus.com/docs/eucalyptus/3.3/admin-guide/accounting_groups.html","accounting-groups","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"	https://www.eucalyptus.com/docs/eucalyptus/3.3/admin-guide/groups.html","groups","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"	https://www.eucalyptus.com/docs/eucalyptus/3.3/admin-guide/users.html","users","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"	https://engage.eucalyptus.com/customer/portal/articles/1175134-issues-moving-to-ha-clc-from-non-ha-setup","Eucalyptus Engage","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “engage.eucalyptus.com” which could put your confidential information at risk."
"https://docs.hpcloud.com/eucalyptus/4.3.0/euca2ools-release-notes/rn_euca2ools_issues_3.1.2.html","",""
"	https://engage.eucalyptus.com","https://engage.eucalyptus.com","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “engage.eucalyptus.com” which could put your confidential information at risk."
"https://docs.hpcloud.com/eucalyptus/4.3.0/release-notes/4.1.0/4.1.0_rn_security.html","",""
"	https://www.eucalyptus.com/resources/security/advisories","Eucalyptus Security Advisories","The request timed out."
"http://docs.hpcloud.com/eucalyptus/4.2.1/release-notes/3.4.3/3.4.3_rn_security.html","",""
"	https://www.eucalyptus.com/eucalyptus-cloud/security/advisories","Eucalyptus Security Advisories","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"https://docs.hpcloud.com/eucalyptus/4.3.0/euca2ools-release-notes/rn_euca2ools_issues_2.1.3.html","",""
"	https://engage.eucalyptus.com","https://engage.eucalyptus.com","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “engage.eucalyptus.com” which could put your confidential information at risk."
"http://docs.hpcloud.com/eucalyptus/4.2.2/release-notes/3.3.1/3.3.1_rn_security.html","",""
"	https://www.eucalyptus.com/eucalyptus-cloud/security/advisories","Eucalyptus Security Advisories","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"http://docs.hpcloud.com/eucalyptus/4.2.2/release-notes/3.2.1/3.2.1_rn_issues.html","",""
"	https://engage.eucalyptus.com","https://engage.eucalyptus.com","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “engage.eucalyptus.com” which could put your confidential information at risk."
"https://docs.hpcloud.com/eucalyptus/4.3.0/shared/intro_compatibility_matrix_4.0.html","",""
"	https://www.eucalyptus.com/docs/eucalyptus/4.0.2/euca2ools-guide/index.html","Euca2ools 3.1","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"http://docs.hpcloud.com/eucalyptus/4.2.2/shared/intro_compatibility_matrix_4.0.html","",""
"	https://www.eucalyptus.com/docs/eucalyptus/4.0.2/euca2ools-guide/index.html","Euca2ools 3.1","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"http://docs.hpcloud.com/eucalyptus/4.2.2/shared/intro_compatibility_matrix_4.1.html","",""
"	https://www.eucalyptus.com/docs/eucalyptus/4.1.2/euca2ools-guide/index.html","Euca2ools 3.2","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “www.eucalyptus.com” which could put your confidential information at risk."
"http://docs.hpcloud.com/eucalyptus/4.2.1/release-notes/3.2.2/3.2.2_rn_issues.html","",""
"	https://engage.eucalyptus.com","https://engage.eucalyptus.com","The certificate for this server is invalid. You might be connecting to a server that is pretending to be “engage.eucalyptus.com” which could put your confidential information at risk."
